Test
Latitude	Longitude	Alpha	
       17.065178       153.44875    0.0079006993
       17.123533       153.43474    0.0060872571
       17.182058       153.42070    0.0042738150
       17.240414       153.40668    0.0043908130
       17.298843       153.39268    0.0062540947
       17.357197       153.37865    0.0099811191
       17.415869       153.36464    0.0062545557
       17.474298       153.35063    0.0081178374
       17.532736       153.33635    0.0043912740
       17.590996       153.32236    0.0062545557
       17.649424       153.30832     0.013707683
       17.707928       153.29431     0.013707683
       17.766430       153.28030    0.0099811191
       17.824776       153.26605    0.0099811191
       17.883278       153.25203   0.00066540213
       17.941616       153.23802     0.011844862
       18.000202       153.22375    0.0081182984
       18.058538       153.20973    0.0043917350
       18.116953       153.19576    0.0062550167
       18.175375       153.18149     0.011642838
       18.233789       153.16750     0.017137343
       18.292212       153.15321     0.017137343
       18.350624       153.13921    0.0098113357
       18.409124       153.12494    0.0061483320
       18.467615       153.11095     0.015305841
       18.526115       153.09668    0.0024853284
       18.584364       153.08267    0.0043168302
       18.642862       153.06839    0.0079798339
       18.701200       153.05412    0.0024853284
       18.759769       153.04013    0.0098113357
       18.818106       153.02586     0.011642838
       18.876524       153.01161   0.00065382654
       18.934860       152.99733    0.0098113357
       18.993279       152.98306    0.0098113357
       19.051685       152.96906    0.0079798339
       19.110184       152.95482    0.0025325824
       19.168600       152.94054    0.0081315559
       19.227098       152.92627    0.0025325824
       19.285597       152.91200   0.00066625786
       19.343853       152.89774    0.0099981113
       19.402435       152.88348    0.0081310941
       19.460691       152.86919    0.0099974186
       19.519270       152.85493     0.019329272
       19.577694       152.83652     0.011863281
       19.636034       152.82224     0.017462255
       19.694372       152.80795    0.0062643078
       19.752794       152.79369    0.0043984451
       19.811226       152.77916    0.0081310941
       19.869648       152.76488     0.011863743
       19.928156       152.75063    0.0099981113
       19.986662       152.73636    0.0099981113
       20.044939       152.72182    0.0081672958
       20.103445       152.70755    0.0062926620
       20.161713       152.69327    0.0044180281
       20.220304       152.67900    0.0062926620
       20.278666       152.66446     0.010042625
       20.337019       152.65018     0.013791197
       20.395380       152.63564    0.0081672958
       20.453732       152.62134    0.0062926620
       20.512180       152.60680     0.010042625
       20.570618       152.59251    0.0025438581
       20.629065       152.57797     0.011917027
       20.687592       152.56371    0.0062933577
       20.745800       152.54913    0.0081682236
       20.804325       152.53485     0.010042857
       20.862621       152.52029    0.0044191878
       20.921156       152.50574     0.010042857
       20.979532       152.49146    0.0099320751
       21.037918       152.47691    0.0080778480
       21.096212       152.46233    0.0099318457
       21.154688       152.44778    0.0080778480
       21.213062       152.43347     0.013639841
       21.271538       152.41893    0.0062238504
       21.329920       152.40433    0.0062238504
       21.388487       152.38979    0.0080778480
       21.446722       152.37521    0.0025160844
       21.505196       152.36063    0.0062243092
